key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
e,2021-10-20 11:19:35.893246,2021-10-20 11:19:36.031172,zihao,137926.0,209517.0,71591.0,216468.0
[space],2021-10-20 11:19:36.102763,2021-10-20 11:19:36.247640,zihao,144877.0,326953.0,182076.0,348803.0
[backspace],2021-10-20 11:19:36.429716,2021-10-20 11:19:36.596443,zihao,166727.0,382144.0,215417.0,333577.0
-,2021-10-20 11:19:36.811860,2021-10-20 11:19:36.930020,zihao,118160.0,253240.0,135080.0,260583.0
l,2021-10-20 11:19:37.065100,2021-10-20 11:19:37.190603,zihao,125503.0,116751.0,-8752.0,114112.0
e,2021-10-20 11:19:37.181851,2021-10-20 11:19:37.304715,zihao,122864.0,153382.0,30518.0,146872.0
t,2021-10-20 11:19:37.335233,2021-10-20 11:19:37.451587,zihao,116354.0,170654.0,54300.0,194298.0
t,2021-10-20 11:19:37.505887,2021-10-20 11:19:37.645885,zihao,139998.0,163947.0,23949.0,173411.0
e,2021-10-20 11:19:37.669834,2021-10-20 11:19:37.819296,zihao,149462.0,65971.0,-83491.0,43654.0
r,2021-10-20 11:19:37.735805,2021-10-20 11:19:37.862950,zihao,127145.0,469272.0,342127.0,442158.0
-,2021-10-20 11:19:38.205077,2021-10-20 11:19:38.305108,zihao,100031.0,229008.0,128977.0,267205.0
l,2021-10-20 11:19:38.434085,2021-10-20 11:19:38.572313,zihao,138228.0,218492.0,80264.0,171970.0
o,2021-10-20 11:19:38.652577,2021-10-20 11:19:38.744283,zihao,91706.0,186713.0,95007.0,211943.0
n,2021-10-20 11:19:38.839290,2021-10-20 11:19:38.956226,zihao,116936.0,201935.0,84999.0,197756.0
g,2021-10-20 11:19:39.041225,2021-10-20 11:19:39.153982,zihao,112757.0,446278.0,333521.0,455189.0
[space],2021-10-20 11:19:39.487503,2021-10-20 11:19:39.609171,zihao,121668.0,453599.0,331931.0,635503.0
[shift],2021-10-20 11:19:39.941102,2021-10-20 11:19:40.244674,zihao,303572.0,192290.0,-111282.0,-8789.0
"""",2021-10-20 11:19:40.133392,2021-10-20 11:19:40.235885,zihao,102493.0,609680.0,507187.0,675964.0
[caps_lock],2021-10-20 11:19:40.743072,2021-10-20 11:19:40.911849,zihao,168777.0,281282.0,112505.0,256953.0
t,2021-10-20 11:19:41.024354,2021-10-20 11:19:41.168802,zihao,144448.0,159028.0,14580.0,154688.0
[caps_lock],2021-10-20 11:19:41.183382,2021-10-20 11:19:41.323490,zihao,140108.0,143999.0,3891.0,115251.0
h,2021-10-20 11:19:41.327381,2021-10-20 11:19:41.438741,zihao,111360.0,147579.0,36219.0,164912.0
e,2021-10-20 11:19:41.474960,2021-10-20 11:19:41.603653,zihao,128693.0,174766.0,46073.0,168992.0
[space],2021-10-20 11:19:41.649726,2021-10-20 11:19:41.772645,zihao,122919.0,774332.0,651413.0,795405.0
q,2021-10-20 11:19:42.424058,2021-10-20 11:19:42.568050,zihao,143992.0,126253.0,-17739.0,95052.0
