,key,pressed,released,user
337,s,2021-10-20 10:12:46 961346,2021-10-20 10:12:47 164431,Alex
75,[space],2021-10-20 10:12:47 101929,2021-10-20 10:12:47 226910,Alex
228,b,2021-10-20 10:12:47 367493,2021-10-20 10:12:47 539336,Alex
255,e,2021-10-20 10:12:47 726659,2021-10-20 10:12:47 867378,Alex
256,e,2021-10-20 10:12:48 164199,2021-10-20 10:12:48 242303,Alex
118,n,2021-10-20 10:12:48 273536,2021-10-20 10:12:48 460999,Alex
76,[space],2021-10-20 10:12:48 460999,2021-10-20 10:12:48 617202,Alex
366,u,2021-10-20 10:12:48 929635,2021-10-20 10:12:49 070125,Alex
338,s,2021-10-20 10:12:49 054606,2021-10-20 10:12:49 163823,Alex
257,e,2021-10-20 10:12:49 257686,2021-10-20 10:12:49 445141,Alex
383,d,2021-10-20 10:12:49 367025,2021-10-20 10:12:49 492009,Alex
77,[space],2021-10-20 10:12:49 460758,2021-10-20 10:12:49 585725,Alex
293,t,2021-10-20 10:12:49 632585,2021-10-20 10:12:49 757567,Alex
171,o,2021-10-20 10:12:49 726324,2021-10-20 10:12:49 835666,Alex
78,[space],2021-10-20 10:12:49 835666,2021-10-20 10:12:49 960632,Alex
294,t,2021-10-20 10:12:49 960632,2021-10-20 10:12:50 101227,Alex
258,e,2021-10-20 10:12:50 054371,2021-10-20 10:12:50 179212,Alex
339,s,2021-10-20 10:12:50 241832,2021-10-20 10:12:50 429287,Alex
295,t,2021-10-20 10:12:50 444768,2021-10-20 10:12:50 569874,Alex
79,[space],2021-10-20 10:12:50 507395,2021-10-20 10:12:50 647969,Alex
296,t,2021-10-20 10:12:51 306152,2021-10-20 10:12:51 415489,Alex
354,y,2021-10-20 10:12:51 431123,2021-10-20 10:12:51 538306,Alex
104,p,2021-10-20 10:12:51 647671,2021-10-20 10:12:51 772635,Alex
314,i,2021-10-20 10:12:51 928837,2021-10-20 10:12:52 131792,Alex
119,n,2021-10-20 10:12:52 053684,2021-10-20 10:12:52 178773,Alex
131,g,2021-10-20 10:12:52 116252,2021-10-20 10:12:52 323041,Alex
80,[space],2021-10-20 10:12:52 260414,2021-10-20 10:12:52 416765,Alex
297,t,2021-10-20 10:12:52 604220,2021-10-20 10:12:52 635457,Alex
221,[backspace],2021-10-20 10:12:52 869779,2021-10-20 10:12:52 932263,Alex
259,e,2021-10-20 10:12:52 901019,2021-10-20 10:12:53 041618,Alex
369,q,2021-10-20 10:12:53 119720,2021-10-20 10:12:53 244683,Alex
367,u,2021-10-20 10:12:53 260298,2021-10-20 10:12:53 432145,Alex
315,i,2021-10-20 10:12:53 369663,2021-10-20 10:12:53 510240,Alex
105,p,2021-10-20 10:12:53 650717,2021-10-20 10:12:53 744559,Alex
154,m,2021-10-20 10:12:53 869548,2021-10-20 10:12:53 994381,Alex
