key,user,hold_time,press_press_time,press_release_time,release_release_time
[space],alex,93747.0,140597.0,46850.0,156214.0
a,alex,109364.0,437340.0,327976.0,484239.0
n,alex,156263.0,125023.0,-31240.0,109362.0
d,alex,140602.0,93718.0,-46884.0,46857.0
[space],alex,93741.0,109352.0,15611.0,156200.0
[maj],alex,140589.0,62490.0,-78099.0,31126.0
b,alex,109225.0,140599.0,31374.0,140706.0
r,alex,109332.0,124963.0,15631.0,171851.0
a,alex,156220.0,218709.0,62489.0,234315.0
v,alex,171826.0,140456.0,-31370.0,109355.0
e,alex,140725.0,78237.0,-62488.0,78087.0
[space],alex,140575.0,93725.0,-46850.0,93750.0
o,alex,140600.0,171841.0,31241.0,124957.0
f,alex,93716.0,218674.0,124958.0,234325.0
f,alex,109367.0,328076.0,218709.0,484249.0
e,alex,265540.0,124895.0,-140645.0,0.0
r,alex,140645.0,0.0,0.0,0.0
